,content,label
122,스케일이 일단은 국내 개봉 큽니다.그래서 너무 영화스럽다는 단점도잇을정도...그치만 또,0
757,웃기면 짱댕이지..더이상 뭘 바라오?게다가 마지막에 감동까지 주더만!!,1
1492,"Ebs 명화특선으로 '질주'를 봤는데요. 러셀크로우 주연의 '쓰리데이즈'와 비슷한 느낌이 강합니다. 다만 가족애보다는, 범죄중독자이자 마라토너라는 느낌이 강합니다. 중반부터는 계속 뛰기때문에 서스펜스가 지속적인게 특히",1
1471,마지막 장면 보고 몇분 동안 경악햇다,1
589,마지막에 캠코더 찾으러 가는 남자의 걸음이 기괴해서 소름이 끼쳤다. 진짜 미친 알았다. 줄 엄마의 운명은 가혹하고 남자의 삶도 또한 반복되는 이 영화보고 다시 돌아가도 또 다른 소름끼치는 가혹했다. 것은 당연한 것처럼 느껴졌다. 여러모로 시련이 영화이다.,1
2656,재밌게 봤습니다! 참신하네요~,0
1775,레옹의 죽음으로 완성되는 감동과Shape Of My Heart로 긴 여운까지,1
747,뻔했지만 나름대로 괜찮음 다소 지루한다는게,0
621,톰펠튼 너무 귀여워요 &gtA&lt,0
1120,많은 생각을 할 수 있는 영화~ 시간여행류의 스토리를 좋아하는 사람이라면 빠트릴 수 없는 영화,0
1645,아... 이 드라마가 지금 나왔다면...아쉽다...진정,0
226,잔잔하게흐르지만 묵직한 울림..할머니의 무한한 사랑속에 성장해가는 상우의 이야기. 따듯한 영화이다.마지막 상우의 미안해.에서 울음참느라 힘들었다..,1
555,계 마리가 좀 허무하게 죽은듯해서 ㅠㅠ 엔딩장면과 ost가 계속 생각나네요 굿!!,1
1727,"널봐, 아름다운 괴물을",1
2745,처음부터 끝까지 예측할 스토리. 없는 수 굿굿!,0
236,소설가답게 시나리오가 무척 훌륭하다. 엄마의 운전은 맥거핀인가? ^^,0
1140,"3부는 2부에 비해 약간 늘어지는 느낌이 있었지만, 북부의 왕 롭 스타크와 어미의 죽음 같은 반전이 마음에 든다.",1
973,매력적인,0
667,어릴때 대충보고 이번에 다시봤는데 명작이네. 타임루프와 별개로 어찌보면 이 영화의 주제는 한마디로 제대로된 부모(케일이와 토미의 아빠가 아닌 엄마를 선택)의 중요성인거 같음. 이상한 부모 밑에선 이상해져서 타임루프를 아무리 답이없고ㅋㅋ 정상적인 부모 밑에서 자라야 올바른 사람으로 자란다는것 ㅋㅋ 그리고 개인적인 생각으론 에반이 케일리를 그렇게 못 잊겠으면 엄마 밑에서 자란 성인 케일리를 꼬시려고 시도하고 실패하면 돌아가서 케일리한테 쌍욕날리고 손절후 성인상태에서 헌팅시도 또 타임루프 무한반복은? 매우 매우 비효율적이지만ㅋㅋ사실 나이 먹고 타임루프보면 갑부돼서 케일리고 뭐고 여자 맘대로 만나면서 살면되지 라는 생각밖에 안드네 ㅋㅋ 갬성이 없어지누ㅋㅋ 아무튼 수작인 영화,1
2196,굳뜨!!! 완죤 내 스타일이닷!!,0
3043,이런 드라마 또 언제 나올까.... 무조건 만점,0
1793,"고어물론 최고다...기발한연출력,,,맘에들었음~~~",0
355,상당히 현실성있고 중간중간 코믹요소도 좋았다. 리얼한 3류 양아치들의 애환을 잘 그려냈다.,0
754,이거 받은적이 흑인들에게 비난을 한때 있었죠.,0
2448,감히 말한다. 조 조 프레이져가 더 위대하다,0
1290,"그냥 뮤직비디오 본다고 생각하면 목적은 작품이다. 동양인 비하라고 하는 분들에게 몇마디하자면 이 영화 자체가 디스를 통한 본 유지합니다. 남녀 비하, 하나지 레즈비언, 오타쿠들 등등 동양인도 그소재중 유태인, 동양비하가 개그코드를 훌륭한 아니에요 ㅋㅋ",0
1662,"행복은 주는만큼돌아온다. 장님분도울땐 정말많은것을배운..우리가 가슴속에 배려와 기적, 당연한메시지를 독특한 모습으로 담은 환상적 영화. 순간의 사랑보다 확신이드리운 사랑은 더욱 가슴벅차게",1
2695,sf 의 명작,0
1464,엄청 웃기다.,0
2855,꽤 볼만한 스릴러. 반전에 약간 실망할 수도.,1
1116,많은 생각을 할 수 있는 영화~ 시간여행류의 스토리를 좋아하는 수 빠트릴 사람이라면 없는 영화,0
1684,오늘 보고왔어요~평일이라그런지 아무도없고 우리딸이랑 둘이서만 봤네요ㅎㅎ정말 재밌고 감동적인 영화였어요 제가 더 어떻게됐는지도 웃고울고ㅋㅋㅋ근데 마무리가 너무 급한감이 있더군요 공주랑 아들이 안나고...그게 재밌게봤네요 쫌 아쉬웠어요!!!,1
11,"보고싶은 것만 보고, 본것을 믿으며 믿는만큼 생각하며 행동한다. 지독한 의심끝에 남겨진것은 의심한자의 끝없는 괴로움뿐이다. 그리고 엔딩 후 느끼는 감정은 똑같이 의심했던 내가 감독에게 조롱당했을지도 모른다는 의심이다.",1
903,"좋은 시나리오, 비고 모르텐슨의 좋은 연기.",0
1953,할머니 귀엽네요..ㅎ 저라면 절대 용서하지 못했을 텐데..,1
1841,아..정말 추억의 영화.. 아버지가 녹화해놓은것을 10번도 더 넘게 본듯한..,0
2028,제작년에 볼만한 영화가 없어서 우연히 보게 된 영화. 보고난 뒤에 다음날 한번 더 이 영화는 (뿐만아니라 음악영화 무조건 영화관에서 영화관 사운드로 느껴야한다는 생각엔 아직도 변함 없다. 레이디가가가 앨리역인줄 도 모르고 보다가 알고난 뒤 진짜 레이디가가의 진가를 알게 되었고 모든 노래가 라이브였단 사실에 또 놀래고. 첫날과 둘째날 영화를 보면서 각기 다른 걸 느꼈었다. 겪고 있었던 그때의 나는 둘째날 브래들리쿠퍼가 결국 죽음을 선택하는 장면에 너무나 공허했다. 죽지못해 사는 나와 비교적 쉽게 죽어버리는 쿠퍼를 보며 카타르시스를 느끼면서도 그러지 못하는 내가 밉다가 또 정상에 있다가 사랑하는 앨리의 승승장구 앞에 어쩔 수 없는 시기질투 까지도 너무 이해가 가더라. 진짜 펑펑 운거같다. 그냥 몇번이든 보라고 강추한다. 코로나때문에 개봉이 취소되고 늦춰지면서 재개봉 영화가 많이 그중에 스타이즈본이 있었고 시간이 없어서 그때 그 공간감 감동을 다시 느낄 수 없다는것에 너무 아쉬울 따름이다.,1
2580,애니로 안보고 영화로만 나는 진짜재밋게 봣는데 특히마지막전투씬,1
331,"두 형제가 겪는 일상에서의 고독과 좌절감을 그린 정지된 두 남자의 일상을 훔쳐보는 듯한 느낌을 주는데, 주로 롱샷으로 된 화면과 롱테이크기법으로 현대인이 겪는 고독과 소외감을 제대로 살리고 라스트씬의 롱테이크는 특히 압권..",1
912,"역시 더러운 일은 하면 안된다. 하필 납치한 여자의 아버지가 특수요원일 줄은 누가 알았겠는가..? ㅋㅋ 주인공이 너무 사기이긴한데, 충분히 매력적인 액션영화이다..! 이 특히 'Good luck' 녹취록으로 범인을 식별하는 건 짜릿했다. 동시에 엄청난 부성애를 느낄 수 있었고, 1시간30분이 순삭되는 영화였다. ((참고로)) 아직도 이 기억나는 명대사는 정말 임팩트가 크다. "" I don't know who U R. I don't know what U want. ~~(넌 잘못 걸렸다는 중략) ~~ (딸을 안놔주면) I will find U and i will kill U."" 내가 만약 이 말을 들은 범죄자라면, 그만 두겠다 ㅋㅋㅋㅋ",1
2157,좋아요ㅎㅎ,0
294,언제부턴가 영화를 장애가 있다는걸모르고 보게 되는영화 생각해보면 벤치에 앉아 이야기를 듣던 사람들이 우리가 주인공이 보며 변하는 모습처럼 보인다,1
1277,여기 멍청이들 진짜 많다 ㅋㅋㅋ 물로 왜죽냐 외계인은 분명 물을.얻으로 왓다 하지만 인간의 진화된 세상의 맑은 물은 이미 사라진지 오래다 그걸 보가 알거잇엇자나 어른들은 그냥 장난치는거다 생각햇지만말야 물을얻으로 왓다 오염된물인걸 알게되고 후퇴한거지,1
3044,정화가 철민을 찾아 헤매다가 결국 길 한 구석에 멈춰서서 울부짖는 나도 따라 울부짖었다. 난 소리 없이..,1
2688,전쟁으로인한 원주민들끼리 행복과나눔이 사라졌고 군인들 또한 겁내고 무시하는게 인상깊었다 무엇보다 야만 쪽바리를 발라주는게 매우 마음에들었다,1
773,"재미(모험)에 감동(감정)을 섞다! 1편 보다 더 좋았고, 3편이랑은 좀 비슷해서 개인적으로 2편이 가장 훌륭한듯요 ^^",0
2167,좋아서 ost가 개인적으로,0
1281,"재밌다. 손오공~~~맹도견들처럼 본능을 억제하고 서역 먼길 한편으론 나선 쓸쓸해보이기도 뒷모습이 견마잡이로 조금 손오공의 하지만... 동행하는 친구들도 있고, 암튼 결론은 유쾌하고 재밌다는 거.",1
441,기사 택시,0
1887,"필모 보 보고 캐놀람.. 환 내가 본 영화가 절반.그 어디에도 이성민은 없었눈뎅....ㅜ.ㅜ 열심히 사는 사람은 말로가 조쿠나.. 골든타임에서 연기력에 놀람.. 사실 스토리보단 이성민 때문에 봄. 마지막 헬기씬.. 환자 가슴에 청진기 대고,,안들려..압권!",1
968,아 뒤치기만 아니였으면 스파르타가 이긴건데 그 배신자 새x 때문에 뒤치기 당해서 적,1
2643,뭐니할거면 지루하다니 스토리개연성이떨어진다니뭐니 니들이만들어봐,0
2689,종로 시장거리 세트장만 10점이다. 봐도,0
1143,"영화관서 참 오래전에 봤던 영화,,, 나오길 기다렸다는..",0
1217,재밌게 잘 봤습니다 아이들과 오랜만에 좋은만화영화 봤네요,0
2215,모든 재난영화는.. 볼만한 가치가 있다.. 항상..,0
467,어렸을 때 보고 처음으로 엄청 울었던 영화... 오랜만에 다시 봤는데도 목이 따가울 정도로 감명 깊네요... 자신은 찾지 못한 가족을 윌리에게 찾아주려 하는 제시의 따뜻한 마음이 마음을 울리네요... ㅠㅠ...,1
1595,주성치의 개그 + 장민의 미모 + 탄탄한 구성 + 푼수 오맹달,0
604,상투적이지 않게 잘 표현한 영화긴 남을듯,0
2438,좋은데요.,0
3008,최고의 요리영화...,0
2040,"재미와 감동, 그리고 생각하게 해준 영화를 지인들께 추천하고 다시한번 같이보려했지만 상영관이 없어 볼수가 없습니다. 너무 안타깝습니다. 진심으로...",0
1724,"널봐, 아름다운 괴물을",1
698,정말 이시절이 그립다 몸을다해 보여주는 액션에 30년동안 경의를 표합니다 최고의 액션영화이자 나만의 영화...,0
1478,보는 내내 둘이 어떻게될까 조마조마 했는데 해피엔딩이어서 다행.,1
3067,언제봐도 행복한영화..,0
1039,화산이 터지는 장면까지 가는 이야기는 너무 디테일하고 재미있는데 그 후 구조되는 깃 까지는 너무 밋밋함,1
518,잼있네요 ㅋㅋ근데 이거 2편을 계획하고 끝낸거 같은데....2편은 어찌...?;;ㅜㅡ,1
112,언뜻 피해자인 유대인 여자 스파이가 활약하는 반전 테마를 다룬 영 같지만 실은 전쟁의 참혹함 뿐만 아니라 사람들 마음속에 반드시 존재하는 지옥을 보여주는 영화... 폴 반호겐 할 진짜 대단하심,1
1958,"인도의 노래와 춤파트가 쫌 길어서 따분해지는감이 있었지만, 전체적으로 재미있고 감동적이였습니다. 교수님의 변화가 특히 감동적인것 같습니다.",1
691,많은 생각이 떠돌게 되는 영화...,0
1,인피니트 우현이 해서 그리고 정말 재밌어요,0
