,content,label
303,마지막에 플래시가 “make your own past.” 때 할 솔직히 조금 울었다...,1
852,베이비 페이스가 시드의 머리 위에 지금봐도 장면은 내려앉는 통쾌합니다.,1
131,"제니랑 재회하는 장면, 친구의 제대 후 꿈인 배를 모는 장면, 아들과 만나는 장면들이 나에게 감동을 주었던 영화. 우리는 인생을 애쓰고 노력하며 잘 살아보려고 발버둥치지만 그와 대조적으로 순수한 포레스트 옆에 어떤 시련이 와도 극복하게 하고 행복을 듬뿍 준 것 같은 느낌이다. 너무 애쓰지 않아도 운명이 삶을 이끌어주지 않을까? 이 영화를 보았다면 이젠 인생을 초콜릿 상자처럼 흘러가는대로 즐겨라~",1
1420,4년후에 봤지만 엄청 흥미로운 영화 돈이고 뭐고 전문적으로 나서는거 다 집어 치우고 보면 가슴 따뜻해 지는 영화괜히 강력추천 전문가 것들 꼴 사납다영화 너무 재미있다 척하는,0
875,"마지막 장면에서 만약 에반이 켈리를 붙잡았더라면? 다시 새로운 나비효과를 상상하게 만든다. 다른 타임 리프 영화처럼 터닝포인트를 한 가지 사건에만 집중시키지 않고 다양한 사건이 얽혀 억지스럽지 않다. 나비효과의 가능성은 생각보다 무궁무진했고, 결과의 한계는 없었다.",1
1174,"완전 있는 죽은 누나가 귀신처럼 재미없었다.. 설정이며, 스토리는 초딩수준이고..",1
1333,오랜만에 정말 감명 정말 본 영화였습니다. 영화를 피아노 보니 생각이 많아지는 영화네요. 하지 알았던 인종차별할 줄 당연이 경찰과 주인공이 나서서 깜둥이라고 후반부에 말라는 게 감동적이었네요 특히 셜리가 진심으로 웃으며 다 치는 게 가장 인상깊었습니다. 영화 속에 유쾌하면서도 깊게 잘 녹여서 하고자하는 말이 잘 와닿네요. 강추드리는 영화입니다. 제 인생영화입니다,1
755,오페라 좋아하는 사람을 이해할수가 없었는데 이 영화의 나를 울게하소서 이 하나만으로 오페라에 빠져버렸다.영화를 처음본날이 십여년전이건만 그날의 감동이 아직도 감돈다.,0
1101,아드레날린팍팍!! 결말빼고는 남자들 강추임,1
798,내생에 가장 <허준<모래시계<황금의제국!! 드라마 = 여명의 눈동자 바뀌고 이 드라마로 인해 내 인생이 인정하는 있다. 나도 규모가 보고 하나 사업가의 집안에서 가족간의 갈등으로 서로 원수비슷하게 지내다가. 이 드라마를 작긴 마음을 바꿨다.,0
